age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
84,student,single,tertiary,no,4398,no,no,cellular,24,jun,1021,43,141,27,unknown,no
86,services,single,secondary,no,15,yes,no,cellular,2,sep,3461,10,220,21,unknown,no
31,admin.,divorced,tertiary,no,13940,yes,no,unknown,9,jun,2613,15,260,29,failure,no
84,student,married,primary,no,2024,no,no,cellular,15,feb,1129,25,198,28,failure,no
40,unemployed,single,secondary,no,6804,yes,no,cellular,22,aug,3843,17,82,24,unknown,no
78,technician,divorced,tertiary,no,6843,yes,no,cellular,14,jan,3893,31,212,29,unknown,no
40,unemployed,single,primary,no,11005,yes,no,cellular,12,may,1500,11,306,12,unknown,yes
44,management,married,tertiary,no,-613,no,yes,cellular,17,oct,702,20,212,2,failure,no
71,admin.,married,tertiary,no,19563,no,no,cellular,31,mar,2449,31,377,14,unknown,no
27,admin.,single,secondary,no,2763,yes,yes,cellular,17,nov,2777,16,272,19,unknown,no
94,self-employed,married,tertiary,no,18493,yes,no,unknown,13,jun,1579,36,125,27,unknown,no
33,entrepreneur,married,tertiary,no,3535,yes,no,telephone,8,dec,161,39,60,17,unknown,no
58,self-employed,divorced,secondary,no,10020,yes,no,cellular,10,may,201,11,346,5,unknown,no
72,management,married,tertiary,no,1128,yes,yes,cellular,26,dec,1981,20,30,14,unknown,no
78,blue-collar,married,secondary,no,19250,yes,no,cellular,13,dec,995,26,14,28,unknown,no
66,services,single,tertiary,no,3085,no,yes,cellular,7,oct,2317,49,359,24,unknown,no
90,student,married,secondary,no,9297,no,no,cellular,3,apr,3934,26,39,11,unknown,yes
69,self-employed,married,tertiary,no,14921,no,no,telephone,24,mar,815,42,320,1,unknown,no
19,management,married,secondary,no,19415,yes,no,cellular,15,jan,3342,47,275,4,unknown,no
67,services,married,primary,no,14257,yes,no,unknown,24,aug,455,6,232,25,unknown,no
60,management,married,secondary,no,3998,no,yes,cellular,29,nov,3533,45,320,16,failure,no
94,blue-collar,married,secondary,no,12023,yes,no,unknown,7,may,3798,35,287,12,unknown,yes
25,student,married,primary,no,9369,no,no,cellular,30,aug,1275,8,239,27,unknown,no
76,entrepreneur,married,primary,no,8514,no,no,cellular,5,sep,1016,7,149,12,unknown,no
82,entrepreneur,married,tertiary,no,16421,yes,no,cellular,8,aug,3773,37,61,3,unknown,yes
29,management,divorced,tertiary,no,7154,yes,no,cellular,21,jun,2343,16,220,15,unknown,yes
21,self-employed,married,tertiary,no,-757,yes,no,unknown,17,oct,3796,9,250,7,unknown,no
94,entrepreneur,single,tertiary,no,8061,yes,no,cellular,8,aug,2767,11,10,2,failure,yes
58,technician,married,tertiary,no,17514,no,no,unknown,7,may,3820,21,37,19,unknown,no
24,self-employed,single,primary,no,19863,no,no,unknown,7,sep,337,46,64,1,unknown,no
86,housemaid,single,tertiary,no,-347,no,yes,cellular,2,jun,878,7,190,24,unknown,no
86,retired,married,tertiary,yes,5974,yes,no,unknown,11,feb,1076,12,37,20,unknown,no
47,management,married,primary,no,7491,no,no,cellular,12,jul,791,40,254,2,unknown,no
90,management,married,tertiary,no,304,no,no,cellular,28,jan,3993,21,268,10,unknown,no
23,management,single,secondary,no,9498,no,no,unknown,12,oct,2264,5,243,10,unknown,no
36,blue-collar,married,tertiary,no,10338,no,no,unknown,19,dec,763,6,279,9,unknown,no
83,student,divorced,tertiary,no,1814,yes,no,cellular,28,jan,2235,43,291,27,unknown,no
27,management,married,tertiary,no,10509,yes,yes,telephone,3,dec,379,26,147,22,unknown,no
33,entrepreneur,married,primary,no,3038,yes,no,cellular,12,aug,492,29,42,10,unknown,no
54,entrepreneur,married,primary,no,14025,yes,no,telephone,28,dec,3112,3,108,16,unknown,yes
94,retired,divorced,tertiary,no,11365,no,no,cellular,27,may,1180,11,98,24,success,yes
94,retired,married,primary,no,1781,yes,yes,cellular,26,nov,2062,23,42,6,unknown,yes
49,unemployed,single,secondary,no,-42,yes,no,cellular,6,oct,3884,25,339,28,unknown,no
64,self-employed,married,secondary,no,15680,yes,no,cellular,6,sep,64,12,103,0,unknown,no
89,entrepreneur,married,tertiary,no,4341,no,no,telephone,19,dec,3928,1,192,19,unknown,no
60,entrepreneur,single,secondary,no,7224,yes,no,cellular,27,jun,3910,4,114,14,unknown,no
53,blue-collar,single,primary,no,3082,yes,no,cellular,21,jan,2568,1,45,6,unknown,no
43,entrepreneur,married,secondary,no,18706,yes,no,cellular,9,jun,1367,6,61,3,other,no
27,entrepreneur,married,secondary,no,5301,yes,no,cellular,23,jan,1152,34,113,22,unknown,no
48,unemployed,single,secondary,no,12275,no,no,cellular,9,may,2027,27,197,2,unknown,no
46,technician,married,tertiary,no,13375,yes,no,cellular,18,mar,2695,45,251,19,unknown,no
22,unemployed,single,tertiary,no,17612,yes,no,cellular,10,dec,1495,16,104,27,unknown,no
94,technician,married,tertiary,no,15859,no,no,cellular,10,oct,3134,11,28,2,unknown,no
18,unemployed,married,secondary,no,407,yes,yes,cellular,1,oct,1162,14,168,28,unknown,yes
20,entrepreneur,single,tertiary,no,15319,no,no,cellular,18,sep,1522,38,14,19,unknown,yes
84,unemployed,married,tertiary,no,11245,no,no,telephone,22,jan,2640,48,121,27,unknown,no
88,entrepreneur,divorced,secondary,no,9159,no,no,cellular,10,jun,391,49,356,9,unknown,no
52,entrepreneur,single,secondary,no,3415,yes,no,cellular,7,mar,1698,10,18,28,unknown,no
32,retired,single,tertiary,no,245,yes,yes,cellular,8,sep,418,13,375,2,unknown,no
84,admin.,married,secondary,no,18721,yes,no,unknown,11,feb,2336,45,336,25,unknown,no
47,technician,divorced,tertiary,no,4572,yes,no,cellular,22,dec,378,34,95,29,unknown,no
92,housemaid,single,primary,no,1950,yes,no,cellular,6,nov,1796,33,283,25,unknown,no
60,self-employed,married,tertiary,no,17042,yes,no,unknown,19,jul,3561,33,398,4,unknown,no
77,self-employed,married,tertiary,no,8006,yes,no,cellular,31,sep,2278,39,185,19,other,no
57,unemployed,married,secondary,no,5485,yes,no,cellular,9,mar,3065,13,52,18,failure,no
82,admin.,divorced,secondary,no,17667,no,no,cellular,11,mar,2088,17,297,20,unknown,no
46,blue-collar,single,primary,no,15680,no,no,unknown,2,mar,3099,9,328,9,failure,no
91,housemaid,divorced,secondary,no,-353,yes,yes,cellular,11,jan,2182,13,90,8,unknown,no
36,self-employed,single,secondary,no,13045,no,no,cellular,30,sep,200,16,18,10,unknown,no
20,services,married,tertiary,no,17836,no,yes,cellular,5,sep,1863,37,76,0,unknown,no
53,management,married,secondary,no,7356,yes,no,cellular,19,jun,779,30,129,29,unknown,no
60,services,married,primary,no,6092,yes,no,unknown,17,sep,2977,39,145,29,unknown,no
32,blue-collar,married,secondary,no,1244,yes,no,unknown,18,sep,3104,33,244,19,unknown,yes
58,housemaid,married,secondary,no,2025,no,no,cellular,22,jan,3119,40,180,12,unknown,yes
53,self-employed,divorced,secondary,no,9892,yes,yes,cellular,14,mar,502,6,135,22,unknown,no
94,unemployed,divorced,tertiary,no,6694,no,no,unknown,10,mar,2454,12,211,3,unknown,no
50,management,married,tertiary,no,11877,no,no,cellular,17,jan,3645,2,136,23,unknown,no
22,technician,single,secondary,no,18588,no,no,cellular,11,jun,1751,33,204,22,unknown,no
31,self-employed,married,secondary,no,18196,yes,no,cellular,31,apr,804,15,371,20,unknown,no
85,self-employed,married,secondary,yes,7002,yes,no,cellular,2,aug,2146,17,148,9,success,no
64,student,single,primary,no,-1215,yes,yes,cellular,10,jun,2731,35,347,3,success,yes
71,blue-collar,married,secondary,no,-1773,yes,yes,cellular,21,apr,1895,31,43,7,unknown,no
21,self-employed,divorced,tertiary,no,2947,no,no,cellular,1,may,2773,30,59,16,other,yes
26,housemaid,single,primary,no,5477,no,no,cellular,30,dec,1570,38,326,1,unknown,no
70,admin.,single,primary,no,15211,no,no,cellular,14,feb,960,16,248,20,success,no
94,housemaid,married,tertiary,no,14762,yes,no,unknown,31,oct,3810,42,372,25,unknown,no
77,technician,married,tertiary,no,11894,yes,no,unknown,11,dec,2660,45,125,6,unknown,no
63,admin.,married,secondary,no,8217,no,yes,cellular,11,jan,1485,40,396,24,unknown,no
71,self-employed,single,tertiary,no,12720,no,yes,cellular,10,dec,2690,17,44,2,unknown,no
91,self-employed,divorced,tertiary,no,4256,yes,no,unknown,20,jul,3840,7,1,20,unknown,no
54,student,married,secondary,no,9556,no,yes,unknown,21,oct,1028,5,161,10,unknown,yes
40,management,single,secondary,no,9568,yes,no,cellular,5,dec,3289,40,196,17,unknown,no
44,self-employed,married,secondary,no,6482,yes,no,cellular,5,mar,502,27,193,5,unknown,no
87,entrepreneur,married,tertiary,no,17932,no,no,cellular,14,mar,2814,1,317,21,unknown,no
83,technician,single,secondary,no,5688,no,no,telephone,26,jun,397,2,46,19,unknown,no
78,retired,single,tertiary,no,-1941,yes,no,cellular,25,mar,870,4,225,13,unknown,no
94,unemployed,married,tertiary,no,3431,no,yes,cellular,25,jul,2842,1,1,12,unknown,no
68,management,married,secondary,no,17054,no,no,telephone,5,jul,392,29,211,1,unknown,no
67,services,married,primary,no,12424,yes,no,cellular,6,may,206,21,214,15,unknown,no
36,admin.,married,secondary,no,1339,no,no,cellular,24,jan,1038,42,292,23,unknown,no
18,retired,divorced,secondary,no,17173,yes,no,unknown,16,sep,1881,35,79,7,failure,no
57,unemployed,married,tertiary,no,1654,yes,no,cellular,28,feb,3625,34,118,14,unknown,yes
49,self-employed,married,secondary,no,11187,no,no,cellular,23,apr,2939,39,85,12,unknown,no
39,housemaid,married,secondary,no,3548,yes,no,unknown,15,oct,1484,2,318,0,failure,no
83,entrepreneur,divorced,secondary,no,19486,yes,no,cellular,6,oct,3762,25,55,1,unknown,no
57,student,single,primary,no,17046,yes,no,cellular,20,feb,3646,6,62,3,unknown,no
55,admin.,single,secondary,no,14585,no,no,cellular,16,dec,863,8,7,12,unknown,no
65,admin.,married,primary,no,5087,yes,no,cellular,19,jan,2790,35,182,29,unknown,yes
72,admin.,divorced,secondary,no,11334,yes,no,cellular,20,jan,3312,19,372,11,unknown,no
92,technician,married,secondary,no,6662,no,yes,cellular,13,jan,563,9,234,11,unknown,no
72,admin.,single,secondary,no,5943,yes,no,cellular,19,jul,1020,33,89,0,unknown,no
68,management,divorced,tertiary,no,17410,yes,no,unknown,13,nov,95,8,103,5,success,no
77,unemployed,married,primary,no,1356,yes,no,unknown,8,dec,1923,38,278,10,unknown,no
25,housemaid,married,secondary,no,8548,yes,no,cellular,6,sep,1757,32,399,15,unknown,no
85,management,married,secondary,no,1973,no,no,cellular,22,jan,2532,23,340,1,unknown,no
92,management,married,secondary,no,11020,yes,yes,cellular,17,oct,3478,34,249,2,unknown,no
89,entrepreneur,married,tertiary,no,8775,yes,no,cellular,5,jun,2278,23,127,10,unknown,no
26,student,divorced,primary,no,2471,yes,no,unknown,8,nov,2796,46,359,8,unknown,no
19,housemaid,married,tertiary,no,18621,no,no,unknown,27,may,1678,32,179,6,unknown,no
87,entrepreneur,single,secondary,no,1123,yes,no,cellular,29,mar,3242,1,92,3,unknown,no
76,admin.,single,secondary,no,9333,yes,no,cellular,18,feb,540,7,181,27,unknown,no
36,admin.,divorced,tertiary,no,16691,no,no,cellular,30,feb,1059,43,211,9,unknown,no
45,management,married,secondary,yes,4003,yes,no,unknown,19,feb,2572,48,203,0,unknown,no
89,management,married,tertiary,no,1790,yes,yes,cellular,12,jul,1183,24,36,12,unknown,no
31,admin.,married,primary,no,4521,no,yes,cellular,25,apr,3910,2,217,3,unknown,no
41,blue-collar,married,secondary,no,1110,no,no,unknown,12,jul,1722,18,145,25,unknown,no
61,unemployed,single,tertiary,no,-399,yes,no,unknown,13,oct,3314,19,58,12,unknown,no
73,technician,married,secondary,no,9788,no,no,cellular,4,jan,3157,42,128,21,failure,no
68,student,married,tertiary,no,18161,no,no,cellular,27,dec,1819,36,140,23,other,no
49,retired,married,secondary,no,19307,no,no,cellular,10,oct,2625,28,32,10,unknown,no
67,self-employed,single,tertiary,no,10712,yes,no,cellular,16,apr,2729,35,21,24,failure,no
58,services,married,secondary,no,11747,no,no,telephone,28,sep,2604,32,370,14,unknown,no
83,housemaid,married,tertiary,no,14004,no,no,cellular,5,jul,1597,13,204,12,success,no
42,entrepreneur,married,tertiary,no,18162,yes,no,cellular,28,oct,3060,6,71,3,unknown,no
78,housemaid,married,secondary,no,6513,no,no,cellular,12,jun,2693,29,180,5,success,no
83,admin.,single,secondary,no,8489,yes,no,unknown,31,jul,795,10,187,1,other,no
59,retired,married,tertiary,no,14563,no,no,cellular,16,feb,1051,40,49,1,unknown,no
82,services,single,secondary,no,18349,no,no,cellular,27,jan,1643,10,321,5,other,no
53,management,married,secondary,no,11291,yes,no,telephone,31,oct,3627,34,82,24,unknown,yes
93,management,married,tertiary,no,14037,yes,no,unknown,23,sep,1363,20,23,2,unknown,no
26,student,married,tertiary,no,13685,yes,no,cellular,29,feb,3869,47,68,19,unknown,no
53,entrepreneur,married,secondary,no,6929,yes,no,cellular,15,feb,1981,33,7,26,unknown,no
55,unemployed,single,secondary,no,1719,yes,no,cellular,21,mar,1354,11,248,24,unknown,no
50,student,married,secondary,no,14438,yes,no,cellular,2,dec,1663,24,98,24,unknown,no
59,self-employed,single,secondary,no,9117,no,no,unknown,23,mar,1529,33,321,10,other,no
78,student,married,secondary,no,16448,no,yes,telephone,16,mar,2038,22,197,14,unknown,no
63,unemployed,divorced,tertiary,no,9834,yes,no,cellular,11,apr,3419,48,314,28,unknown,no
78,retired,single,secondary,no,18567,no,yes,telephone,22,nov,1496,12,207,20,failure,no
35,unemployed,single,tertiary,no,17678,no,yes,unknown,27,jan,3302,30,302,8,success,no
87,entrepreneur,married,tertiary,no,1855,yes,no,cellular,9,nov,2237,32,385,20,success,yes
32,services,divorced,tertiary,no,11369,yes,no,telephone,2,jan,3296,44,191,20,unknown,no
65,services,divorced,secondary,no,751,yes,no,cellular,18,dec,1408,19,371,6,other,no
89,services,married,secondary,no,-1276,yes,no,cellular,13,dec,1400,45,25,14,unknown,no
30,management,married,secondary,no,7445,no,no,unknown,13,apr,1306,40,147,21,unknown,yes
60,blue-collar,married,secondary,no,7369,yes,yes,cellular,8,jan,2680,2,348,9,unknown,yes
77,retired,married,secondary,no,7488,no,no,cellular,10,dec,2675,14,377,10,unknown,no
74,self-employed,married,tertiary,no,6049,no,no,cellular,27,apr,972,33,3,22,unknown,no
88,retired,married,primary,no,11357,yes,yes,unknown,17,feb,1768,32,64,25,unknown,no
34,student,divorced,secondary,no,14233,yes,no,unknown,24,jul,1282,41,216,1,unknown,no
67,retired,married,secondary,no,16883,no,no,cellular,21,jun,3430,19,397,13,unknown,no
49,unemployed,single,tertiary,no,-671,no,no,cellular,1,feb,709,14,290,15,unknown,no
39,technician,married,tertiary,no,19501,yes,no,cellular,16,feb,1479,4,116,8,unknown,no
72,student,single,primary,no,17011,no,yes,cellular,26,dec,1434,2,84,21,unknown,no
74,student,married,secondary,no,10538,no,no,cellular,11,jan,648,10,307,24,unknown,no
30,retired,single,tertiary,no,16834,yes,no,cellular,1,apr,317,29,278,15,unknown,no
64,entrepreneur,married,secondary,no,12053,yes,no,cellular,6,feb,3748,15,365,0,unknown,no
79,technician,married,tertiary,no,12535,yes,no,telephone,12,may,3296,31,275,1,success,no
71,blue-collar,divorced,primary,no,7361,yes,yes,telephone,16,dec,3890,33,345,6,unknown,no
46,entrepreneur,married,secondary,no,5057,no,yes,telephone,26,dec,1257,29,282,11,unknown,no
39,retired,married,secondary,no,9631,yes,no,unknown,11,apr,683,11,168,17,unknown,no
82,housemaid,married,tertiary,no,8559,yes,no,cellular,18,jan,663,48,387,5,unknown,no
46,management,single,secondary,no,2294,yes,no,cellular,2,may,1998,45,25,1,failure,yes
65,unemployed,married,secondary,no,7656,yes,no,unknown,17,may,3898,40,363,13,unknown,no
22,admin.,single,secondary,no,11370,yes,no,cellular,17,may,3445,9,39,15,unknown,no
52,self-employed,married,secondary,no,16114,no,no,cellular,20,feb,3743,47,207,9,unknown,no
91,self-employed,married,tertiary,no,6149,yes,no,cellular,21,apr,1631,29,362,4,unknown,no
88,entrepreneur,divorced,tertiary,no,12478,yes,no,cellular,4,may,1495,37,83,21,unknown,no
63,self-employed,married,primary,no,-877,yes,no,cellular,6,nov,3304,21,237,15,unknown,no
52,technician,single,tertiary,no,19005,yes,no,telephone,24,nov,3763,31,343,6,unknown,no
62,services,married,primary,no,15872,yes,no,unknown,27,jun,1136,22,193,14,unknown,no
30,housemaid,married,secondary,no,14648,no,no,cellular,15,jul,1853,18,328,12,unknown,no
27,admin.,married,tertiary,no,13366,no,no,cellular,11,oct,1520,2,337,16,failure,no
83,self-employed,married,primary,no,16413,no,no,cellular,18,nov,2489,22,361,17,other,no
87,self-employed,single,primary,no,4874,yes,no,cellular,17,mar,563,37,349,17,unknown,no
89,entrepreneur,single,secondary,no,1766,no,no,cellular,2,mar,1291,20,258,16,unknown,yes
42,student,married,tertiary,no,6587,no,yes,cellular,13,oct,3581,48,191,2,unknown,no
61,retired,married,secondary,no,5056,no,no,telephone,26,dec,3878,48,284,11,unknown,no
77,management,married,secondary,no,6299,yes,no,cellular,30,feb,3457,4,181,5,unknown,yes
64,unemployed,single,tertiary,no,1563,yes,no,unknown,27,sep,3458,26,6,11,failure,yes
57,unemployed,single,tertiary,no,9098,no,no,cellular,6,jan,3184,20,152,10,success,yes
24,unemployed,married,tertiary,no,5849,no,no,cellular,11,mar,1636,22,298,8,unknown,no
63,unemployed,married,secondary,no,11771,no,no,cellular,30,mar,3696,43,261,18,unknown,no
40,blue-collar,married,primary,no,4035,yes,no,unknown,20,aug,2999,20,398,27,unknown,yes
63,student,divorced,secondary,no,13104,yes,no,unknown,7,dec,3152,29,78,18,unknown,no
30,admin.,single,tertiary,no,5959,no,no,unknown,30,jun,698,48,39,1,unknown,yes
38,retired,married,tertiary,no,1196,yes,no,unknown,18,mar,2160,31,188,12,unknown,no
18,management,married,tertiary,no,15569,no,no,unknown,17,jan,1,23,378,17,unknown,no
36,management,married,secondary,no,2131,yes,no,telephone,13,mar,641,44,276,22,unknown,no
77,entrepreneur,married,primary,no,17459,no,no,cellular,21,apr,2267,38,249,3,unknown,no
50,housemaid,single,primary,no,-1588,yes,no,cellular,14,jan,1589,16,313,21,failure,no
21,self-employed,married,secondary,no,6674,yes,no,telephone,9,mar,854,19,108,23,unknown,no
20,student,single,secondary,no,9151,yes,no,telephone,13,apr,1759,11,95,13,unknown,no
69,self-employed,married,tertiary,no,1847,no,no,unknown,6,jul,3296,12,31,13,unknown,yes
45,retired,married,secondary,no,6794,yes,no,cellular,22,apr,2432,36,267,4,unknown,yes
87,blue-collar,single,secondary,no,-919,no,no,unknown,1,jan,3474,13,235,28,unknown,no
87,technician,married,tertiary,no,18739,yes,no,telephone,1,sep,1661,2,392,18,unknown,no
72,student,divorced,primary,no,6216,no,no,cellular,4,jun,1153,11,19,1,failure,no
74,services,married,tertiary,no,6389,yes,no,cellular,14,sep,1076,1,398,15,unknown,no
33,retired,married,secondary,no,17010,yes,no,unknown,18,jul,1707,41,204,5,success,no
41,technician,single,secondary,no,6614,no,no,cellular,16,apr,2777,10,237,10,unknown,no
86,services,married,secondary,no,15525,no,no,cellular,3,jan,1695,3,391,11,unknown,yes
